a	ə
baćsię	ˈbat͡ɕ.ɕɛ
bałagan	baˈwa.ɡan
bałałajka	ba.waˈwaj.ka
bałkański	bawˈkaɲ.skʲi
bałtosłowiański	ˌbaw.tɔ.swɔˈvʲaɲ.ski
bałtycki	bawˈtɨt͡s.kʲi
bałwan	ˈbaw.van
bałwochwalca	baw.vɔˈxfal.t͡sa
bałwochwalstwo	baw.vɔˈxfal.stfɔ
bańka	ˈbaɲ.ka
cacko	ˈt͡sat͡s.kɔ
cadyk	ˈt͡sa.dɨk
cal	ˈkal
cali	ˈt͡sa.lʲi
camembert	ˈkɑmembæːr
cap	kæp
car	kɑː
caryca	t͡saˈrɨ.t͡sa
casting	kas.tiŋ
catering	ˈkeɪtəɹɪŋ
cała	ˈt͡sa.wa
całe	ˈt͡sa.wɛ
całka	ˈt͡saw.ka
całkaoznaczona	ˈt͡saw.ka ɔz.naˈt͡ʂɔ.na
całkiem	ˈt͡saw.kʲɛm
całkowanie	t͡saw.kɔˈva.ɲɛ
całkowicie	t͡saw.kɔˈvʲi.t͡ɕɛ
całkowity	t͡saw.kɔˈvʲi.tɨ
cało	ˈt͡sa.wɔ
całopalenie	t͡sa.wɔ.paˈlɛ.ɲɛ
całować	t͡saˈwɔ.vat͡ɕ
całość	ˈt͡sa.wɔɕt͡ɕ
całując	t͡saˈwu.jɔnt͡s
całujący	t͡sa.wuˈjɔn.t͡sɨ
całun	ˈt͡sa.wun
cały	ˈt͡sa.wɨ
całym	ˈt͡sa.wɨm
całą	ˈt͡sa.wɔ̃
ceber	ˈt͡sɛ.bɛr
cebrzyk	ˈt͡sɛb.ʐɨk
cebula	t͡sɛˈbu.la
cebulica	t͡sɛ.buˈlʲi.t͡sa
cebulka	t͡sɛˈbul.ka
cebulowy	t͡sɛ.buˈlɔ.vɨ
cech	t͡sɛx
cecha	ˈt͡sɛ.xa
cedrowy	t͡sɛˈdrɔ.vɨ
cedzak	ˈt͡sɛ.d͡zak
cedzidło	t͡sɛˈd͡ʑi.dwɔ
cedzić	ˈt͡sɛ.d͡ʑit͡ɕ
cegielnik	t͡sɛˈɡʲɛl.ɲik
ceglany	t͡sɛɡˈla.nɨ
ceglarz	ˈt͡sɛɡ.laʂ
ceglasty	t͡sɛɡˈla.stɨ
cegła	ˈt͡sɛ.ɡwa
cegłówka	t͡sɛˈɡwuf.ka
cel	sɛl
cela	sə.la
celibat	t͡sɛˈlʲi.bat
celnik	ˈt͡sɛl.ɲik
celny	ˈt͡sɛl.nɨ
celofan	t͡sɛˈlɔ.fan
celownik	t͡sɛˈlɔv.ɲik
celtyccy	t͡sɛlˈtɨt͡s.t͡sɨ
celtycka	t͡sɛlˈtɨt͡s.ka
celtycki	t͡sɛlˈtɨt͡s.kʲi
celtyckie	t͡sɛlˈtɨt͡s.kʲɛ
cement	səˈmɛnt
cena	ˈt͡sɛna
cenić	ˈt͡sɛ.ɲit͡ɕ
cennik	ˈt͡sɛɲ.ɲik
cent	sɛnt
centralizm	t͡sɛnˈtra.lʲizm
centralny	t͡sɛnˈtral.nɨ
centrum	ˈt͡sɛntrum
centymetr	t͡sɛnˈtɨ.mɛtr
centów	ˈt͡sɛn.tuf
cenę	ˈt͡sɛ.nɛ
cep	sɛp
cer	tsɛːr
cera	ˈtʃera
ceramiczny	t͡sɛ.raˈmʲit͡ʂ.nɨ
ceramika	t͡sɛ.raˈmʲi.ka
ceremonia	t͡sɛ.rɛˈmɔ.ɲa
cerkiew	ˈt͡sɛr.kʲɛf
certyfikat	t͡sɛr.tɨˈfʲi.kat
cesarka	t͡sɛˈsar.ka
cesarski	t͡sɛˈsar.skʲi
cesarskiecięcie	t͡sɛˈsar.skʲɛ ˈt͡ɕɛɲ.t͡ɕɛ
cesarstwo	t͡sɛˈsar.stfɔ
cesarz	ˈt͡sɛ.saʂ
cesarzowa	t͡sɛ.saˈʐɔ.va
cet	sɛt‿
cewa	ˈt͡sɛ.va
cewka	ˈt͡sɛf.ka
cewkamoczowa	ˈt͡sɛf.ka mɔˈt͡ʂɔ.va
cewnik	ˈt͡sɛv.ɲik
cez	t͡sɛs
cezaropapizm	t͡sɛ.za.rɔˈpa.pʲizm
chachoł	ˈxa.xɔw
chadzanie	xaˈd͡za.ɲɛ
chadzać	ˈxa.d͡zat͡ɕ
chadzałam	xaˈd͡za.wam
chadzałaś	xaˈd͡za.waɕ
chadzałem	xaˈd͡za.wɛm
chadzałeś	xaˈd͡za.wɛɕ
cham	kæm
chan	xan̪ˠ
chaos	ˈkeɪ.ɒs
chaotyczny	xa.ɔˈtɨt͡ʂ.nɨ
chapać	ˈxa.pat͡ɕ
charakter	xaˈrak.tɛr
charkać	ˈxar.kat͡ɕ
chart	tʃɑɹt
charytatywny	xa.rɨ.taˈtɨv.nɨ
chata	ˈxɑt̪ˠə
chatka	ˈxat.ka
chaus	ˈkeɪ.ʌs
chałka	ˈxaw.ka
chałupa	xaˈwu.pa
chałwa	ˈxaw.va
chce	xt͡sɛ
chcecie	ˈxt͡sɛ.t͡ɕɛ
chcemy	ˈxt͡sɛ.mɨ
chcesz	xt͡sɛʂ
chciał	xt͡ɕaw
chciała	ˈxt͡ɕa.wa
chciałabym	ˈxt͡ɕawabɨm
chciałam	ˈxt͡ɕa.wam
chciałbym	ˈxt͡ɕaw.bɨm
chciałem	ˈxt͡ɕa.wɛm
chciałeś	ˈxt͡ɕa.wɛɕ
chcieć	xt͡ɕɛt͡ɕ
chciwość	ˈxt͡ɕi.vɔɕt͡ɕ
chciwszy	ˈxt͡ɕif.ʂɨ
chciwy	ˈxt͡ɕi.vɨ
chcą	xt͡sɔ̃
chcąc	xt͡sɔnt͡s
chcący	ˈxt͡sɔn.t͡sɨ
chcę	xt͡sɛ
cheeseburger	t͡ʂizˈbur.ɡɛr
chemia	ˈkʰeː.mi.a
chemiaorganiczna	ˈxɛ.mʲa ɔr.ɡaˈɲit͡ʂ.na
chemiczny	xɛˈmʲit͡ʂ.nɨ
chemik	ˈxɛmɪk
chełpićsię	ˈxɛw.pʲit͡ɕ ɕɛ
chichotać	xʲiˈxɔ.tat͡ɕ
chinina	xʲiˈɲi.na
chinol	ˈxʲi.nɔl
chips	tʃɪps
chirurg	ʃiˈrʏr(ə)x
chirurgia	kʰiːˈrur.ɡi.a
chirurgiaestetyczna	xʲiˈrur.ɡʲa ɛ.stɛˈtɨt͡ʂ.na
chirurgiakosmetyczna	xʲiˈrur.ɡʲa kɔs.mɛˈtɨt͡ʂ.na
chirurgiaplastyczna	xʲiˈrur.ɡʲa plaˈstɨt͡ʂ.na
chirurgiczny	xʲi.rurˈɡʲit͡ʂ.nɨ
chińczyk	ˈxʲiɲ.t͡ʂɨk
chińscy	ˈxʲiɲ.st͡sɨ
chiński	ˈxʲiɲ.skʲi
chińszczyzna	xʲiɲˈʂt͡ʂɨz.na
chlap	xlap
chlać	xlat͡ɕ
chleb	xlɛp
chlew	xlɛf
chlor	xloːr
chlorek	ˈxlɔ.rɛk
chloroform	ˈklɔːɹə(ʊ)̩fɔː(ɹ)m
chędogi	xɛnˈdɔ.ɡʲi
chętnie	ˈxɛn.tɲɛ
chęć	xɛɲt͡ɕ
cętka	ˈt͡sɛn.tka
da	də
dach	dax
dachowiec	daˈxɔ.vʲɛt͡s
dachowy	daˈxɔ.vɨ
dachu	ˈda.xu
dachy	ˈda.xɨ
dachówka	daˈxuf.ka
dacza	ˈda.t͡ʂa
daj	daj
dajcie	d̪ajt͡ɕɛ
dajecie	daˈjɛ.t͡ɕɛ
dajemy	daˈjɛ.mɨ
dają	ˈda.jɔ̃
daktyl	ˈdak.tɨl
dal	ˈdɒl
dalecy	daˈlɛt͡sɨ
dalej	ˈdalej
daleka	daˈlɛ.ka
daleki	daˈlɛ.kʲi
dalekie	daˈlɛ.kʲɛ
daleko	ˈdalɛko
dali	ˈdalʲi
dalia	ˈdɒliʲɒ
dalmatyńczyk	dal.maˈtɨɲ.t͡ʂɨk
dalmatyński	dal.maˈtɨɲ.skʲi
dalszy	ˈdal.ʂɨ
daltonizm	dalˈtɔ.ɲizm
dam	dæm
dama	ˈda.mə
damy	ˈda.mɨ
dandys	ˈdan.dɨs
dane	ˈdanɛ
dania	ˈda.ɲa
danie	ˈda.ɲɛ
daniel	ˈdænjəl
danina	daˈɲi.na
dantejski	danˈtɛj.skʲi
dantejskiesceny	danˈtɛj.skʲɛ ˈst͡sɛ.nɨ
dany	ˈdanɪ
darach	ˈdarax
darcie	ˈdar.t͡ɕɛ
daremny	daˈrɛm.nɨ
darli	ˈdar.lʲi
darmo	ˈdar.mɔ
darmowy	darˈmɔ.vɨ
darmsztadt	ˈdar.mʂtat
darowizna	da.rɔˈviz.na
daru	ˈdɒru
darwinista	ˈdɒrviniʃtɒ
dary	ˈdarɨ
darń	darɲ
dasz	daʂ
daszek	ˈd̪aʂɛk
data	ˈdeɪtə
dawaj	ˈdawaj
dawać	ˈda.vat͡ɕ
dawaćdupy	ˈda.vat͡ɕ ˈdu.pɨ
dawca	ˈdaf.t͡sa
dawczyni	dafˈt͡ʂɨ.ɲi
dawka	ˈdaf.ka
dawniej	ˈdav.ɲɛj
dawniejszy	davˈɲɛj.ʂɨ
dawno	ˈdawnɔ
dawny	ˈdawnɨ
dać	dat͡ɕ
daćdrapaka	dat͡ɕ draˈpa.ka
daćdupy	dat͡ɕ ˈdu.pɨ
daćnogę	dat͡ɕ ˈnɔ.ɡɛ
daćsobierękęuciąć	dat͡ɕ ˈsɔ.bʲɛ ˈrɛŋ.kɛ ˈu.t͡ɕɔɲt͡ɕ
daćspokój	dat͡ɕ ˈspɔ.kuj
dał	ˈdaw
dała	ˈdawa
dałam	ˈda.wam
dałaś	ˈda.waɕ
dałem	ˈda.wɛm
dałeś	ˈda.wɛɕ
dało	ˈda.wɔ
dbam	dbam
dbać	dbat͡ɕ
debata	dɛˈba.ta
debeściak	dɛˈbɛɕ.t͡ɕak
debil	ˈdɛ.bʲil
debiut	ˈdɛ.bʲut
dech	deχ
decha	ˈdʲexa
decymetr	d̪ɛˈt͡s̪ɨmɛt̪r̥
decyzja	dɛˈt͡sɨz.ja
dedykowanie	dɛ.dɨ.kɔˈva.ɲɛ
dedykować	dɛ.dɨˈkɔ.vat͡ɕ
dedykując	dɛ.dɨˈku.jɔnt͡s
dedykujący	dɛ.dɨ.kuˈjɔn.t͡sɨ
defetyzm	dɛˈfɛ.tɨzm
definicja	dɛ.fʲiˈɲit͡s.ja
deflacja	dɛfˈlat͡s.ja
defloracja	dɛf.lɔˈrat͡s.ja
deista	ˈdɛʲiʃtɒ
deizm	ˈdɛ.izm
dekada	dɛˈka.da
dekalog	dɛˈka.lɔk
dekan	ˈdɛ.kan
dekarz	ˈdɛ.kaʂ
dekiel	ˈdɛ.kʲɛl
dekielek	dɛˈkʲɛ.lɛk
deklinacja	dɛk.lʲiˈnat͡s.ja
dekomercjalizacja	dɛkɔmɛrt͡sjaliˈzat͡sja
dekoracyjny	dɛ.kɔ.raˈt͡sɨj.nɨ
dekret	ˈdɛ.krɛt
delegat	dɛˈlɛ.ɡat
delficki	dɛlˈfʲit͡s.kʲi
delfin	dɛlfin
delicja	dɛˈlʲit͡s.ja
delikatniejszy	dɛ.lʲi.katˈɲɛj.ʂɨ
delikatny	dɛ.lʲiˈkat.nɨ
delta	ˈdɛɫtə
demagog	dɛˈma.ɡɔk
demagogia	dɛ.maˈɡɔ.ɡʲa
dementi	dɛˈmɛn.ti
dementować	dɛ.mɛnˈtɔ.vat͡ɕ
dementując	dɛ.mɛnˈtu.jɔnt͡s
dementujący	dɛ.mɛn.tuˈjɔn.t͡sɨ
demograf	dɛˈmɔ.ɡraf
demografia	dɛ.mɔˈɡra.fʲa
demokracja	dɛ.mɔˈkrat͡s.ja
demokrata	ˈdɛmokrɒtɒ
demokratycznie	dɛ.mɔ.kraˈtɨt͡ʂ.ɲɛ
demokratyczny	dɛ.mɔ.kraˈtɨt͡ʂ.nɨ
demon	ˈdiː.mən
demoniczny	dɛ.mɔˈɲit͡ʂ.nɨ
demonologia	dɛ.mɔ.nɔˈlɔ.ɡʲa
demonstrant	ˌdeː.mɔnˈstrɑnt
demontowanie	dɛ.mɔn.tɔˈva.ɲɛ
demontować	dɛ.mɔnˈtɔ.vat͡ɕ
demontując	dɛ.mɔnˈtu.jɔnt͡s
demontujący	dɛ.mɔn.tuˈjɔn.t͡sɨ
den	dɛn
denaturat	dɛ.naˈtu.rat
dendrologia	dɛn.drɔˈlɔ.ɡʲa
denerwowanie	dɛ.nɛr.vɔˈva.ɲɛ
denerwować	dɛ.nɛrˈvɔ.vat͡ɕ
denerwując	dɛ.nɛrˈvu.jɔnt͡s
denerwujący	dɛ.nɛr.vuˈjɔn.t͡sɨ
dentysta	dɛnˈtɨ.sta
dentystka	dɛnˈtɨ.stka
dąb	dɔmp
dąsać	ˈdɔ̃.sat͡ɕ
dąć	dɔɲt͡ɕ
dął	dɔ̃w
dąłby	ˈdɔ̃w.bɨ
dąłbym	ˈdɔ̃w.bɨm
dąłbyś	ˈdɔ̃w.bɨɕ
dąłem	ˈdɔ̃.wɛm
dąłeś	ˈdɔ̃.wɛɕ
ebonit	ɛbonɪt
ebonitowy	ɛ.bɔ.ɲiˈtɔ.vɨ
echo	ˈɛkəʊ
edredon	ɛˈdrɛ.dɔn
edukacja	ɛ.duˈkat͡s.ja
edycja	ɛˈdɨt͡sja
edykt	ˈɛdɨkt
edyl	ˈɛ.dɨl
edytować	ɛ.dɨˈtɔ.vat͡ɕ
efekt	ˈɛ.fɛkt
egida	ˈɛ.d͡ʒi.da
egipski	ɛˈɡʲip.skʲi
egipskieciemności	ɛˈɡʲip.skʲɛ t͡ɕɛmˈnɔɕ.t͡ɕi
egiptolog	ɛ.ɡʲipˈtɔ.lɔk
egocentryzm	ɛ.ɡɔˈt͡sɛn.trɨzm
egoista	ə.ɡuˈis.tə
egoistycznie	ɛ.ɡɔ.iˈstɨt͡ʂ.ɲɛ
egoistyczny	ɛ.ɡɔ.iˈstɨt͡ʂ.nɨ
egoizm	ɛˈɡɔ.izm
egranizacja	ɛ.ɡra.ɲiˈzat͡s.ja
egzamin	ɛɡˈza.mʲin
egzaminować	ɛɡ.za.mʲiˈnɔ.vat͡ɕ
egzaminując	ɛɡ.za.mʲiˈnu.jɔnt͡s
egzaminujący	ɛɡ.za.mʲi.nuˈjɔn.t͡sɨ
egzonim	ɛɡˈzɔ.ɲim
egzorcysta	ɛɡ.zɔrˈt͡sɨ.sta
egzotyczniejszy	ɛɡ.zɔ.tɨt͡ʂˈɲɛj.ʂɨ
egzotyczny	ɛɡzɔˈtɨt͡ʂnɨ
egzystencja	ɛɡ.zɨˈstɛn.t͡sja
egzystencjalizm	ɛɡ.zɨ.stɛnˈt͡sja.lʲizm
einstein	ˈaj.nʂtajn
ej	aj
ejakulacja	ɛ.ja.kuˈlat͡s.ja
ekipa	ɛˈkʲi.pa
ekliptyka	ɛk.lʲipˈtɨ.ka
ekologia	ɛ.kɔˈlɔ.ɡʲa
ekologicznie	ɛ.kɔ.lɔˈɡʲit͡ʂ.ɲɛ
ekologiczniejszy	ɛ.kɔ.lɔ.ɡʲit͡ʂˈɲɛj.ʂɨ
ekologiczny	ɛ.kɔ.lɔˈɡʲit͡ʂ.nɨ
ekonomia	ɛ.kɔˈnɔ.mʲa
ekonomicznie	ɛ.kɔ.nɔˈmʲit͡ʂ.ɲɛ
ekonomiczny	ɛ.kɔ.nɔˈmʲit͡ʂ.nɨ
ekonomista	ɛ.kɔ.nɔˈmʲi.sta
ekosystem	ɛ.kɔˈsɨ.stɛm
ekran	ˈɛ.kran
ekranizacja	ɛ.kra.ɲiˈzat͡s.ja
eks	ɛks
ekshibicjonista	ɛk.sxʲi.bʲit͡s.jɔˈɲi.sta
ekshibicjonizm	ɛk.sxʲi.bʲit͡sˈjɔ.ɲizm
ekskluzywny	ɛk.skluˈzɨv.nɨ
ekskomunika	ɛk.skɔ.muˈɲi.ka
ekskomunikowanie	ɛk.skɔ.mu.ɲi.kɔˈva.ɲɛ
ekskomunikowany	ɛk.skɔ.mu.ɲi.kɔˈva.nɨ
ekskomunikować	ɛk.skɔ.mu.ɲiˈkɔ.vat͡ɕ
ekskomunikując	ɛk.skɔ.mu.ɲiˈku.jɔnt͡s
ekskomunikujący	ɛk.skɔ.mu.ɲi.kuˈjɔn.t͡sɨ
ekspedient	ɛkˈspɛd.jɛnt
ekspedientka	ɛk.spɛdˈjɛn.tka
ekspert	ˈɛk.spɛrt
ekspertka	ɛkˈspɛr.tka
eksperyment	ɛk.spɛˈrɨ.mɛnt
eksperymentalny	ɛk.spɛ.rɨ.mɛnˈtal.nɨ
eksperymentować	ɛks.pɛ.rɨ.mɛnˈtɔ.vat͡ɕ
eksplozja	ɛkˈsplɔz.ja
eksport	ˈɛk.spɔrt
eksportowanie	ɛk.spɔr.tɔˈva.ɲɛ
eksportować	ɛk.spɔrˈtɔ.vat͡ɕ
